Images,chosen,rejected
"['kitchen1/0/Action_0000_0_normal.png', 'kitchen1/0/Action_0013_0_normal.png', 'kitchen1/0/Action_0025_0_normal.png', 'kitchen1/0/Action_0038_0_normal.png', 'kitchen1/0/Action_0050_0_normal.png', 'kitchen1/0/Action_0063_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0013_0_normal.png', 'kitchen1/0/Action_0025_0_normal.png', 'kitchen1/0/Action_0038_0_normal.png', 'kitchen1/0/Action_0050_0_normal.png', 'kitchen1/0/Action_0063_0_normal.png', 'kitchen1/0/Action_0075_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, microwave)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0025_0_normal.png', 'kitchen1/0/Action_0038_0_normal.png', 'kitchen1/0/Action_0050_0_normal.png', 'kitchen1/0/Action_0063_0_normal.png', 'kitchen1/0/Action_0075_0_normal.png', 'kitchen1/0/Action_0088_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, microwave)', '(female1, grab, milkshake) (male1, stand, microwave)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0038_0_normal.png', 'kitchen1/0/Action_0050_0_normal.png', 'kitchen1/0/Action_0063_0_normal.png', 'kitchen1/0/Action_0075_0_normal.png', 'kitchen1/0/Action_0088_0_normal.png', 'kitchen1/0/Action_0100_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, microwave)', '(female1, grab, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, grab, salmon)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0050_0_normal.png', 'kitchen1/0/Action_0063_0_normal.png', 'kitchen1/0/Action_0075_0_normal.png', 'kitchen1/0/Action_0088_0_normal.png', 'kitchen1/0/Action_0100_0_normal.png', 'kitchen1/0/Action_0113_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, microwave)', '(female1, grab, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, grab, salmon)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0063_0_normal.png', 'kitchen1/0/Action_0075_0_normal.png', 'kitchen1/0/Action_0088_0_normal.png', 'kitchen1/0/Action_0100_0_normal.png', 'kitchen1/0/Action_0113_0_normal.png', 'kitchen1/0/Action_0125_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, microwave)', '(female1, grab, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, open, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0075_0_normal.png', 'kitchen1/0/Action_0088_0_normal.png', 'kitchen1/0/Action_0100_0_normal.png', 'kitchen1/0/Action_0113_0_normal.png', 'kitchen1/0/Action_0125_0_normal.png', 'kitchen1/0/Action_0138_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, microwave)', '(female1, grab, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, open, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0088_0_normal.png', 'kitchen1/0/Action_0100_0_normal.png', 'kitchen1/0/Action_0113_0_normal.png', 'kitchen1/0/Action_0125_0_normal.png', 'kitchen1/0/Action_0138_0_normal.png', 'kitchen1/0/Action_0150_0_normal.png']","['(female1, grab, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0100_0_normal.png', 'kitchen1/0/Action_0113_0_normal.png', 'kitchen1/0/Action_0125_0_normal.png', 'kitchen1/0/Action_0138_0_normal.png', 'kitchen1/0/Action_0150_0_normal.png', 'kitchen1/0/Action_0163_0_normal.png']","['(female1, stand, kitchentable) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0113_0_normal.png', 'kitchen1/0/Action_0125_0_normal.png', 'kitchen1/0/Action_0138_0_normal.png', 'kitchen1/0/Action_0150_0_normal.png', 'kitchen1/0/Action_0163_0_normal.png', 'kitchen1/0/Action_0175_0_normal.png']","['(female1, drink, milkshake) (male1, grab, salmon)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, close, microwave)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0125_0_normal.png', 'kitchen1/0/Action_0138_0_normal.png', 'kitchen1/0/Action_0150_0_normal.png', 'kitchen1/0/Action_0163_0_normal.png', 'kitchen1/0/Action_0175_0_normal.png', 'kitchen1/0/Action_0188_0_normal.png']","['(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, close, microwave)', '(female1, walk , kitchencounter) (male1, close, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0138_0_normal.png', 'kitchen1/0/Action_0150_0_normal.png', 'kitchen1/0/Action_0163_0_normal.png', 'kitchen1/0/Action_0175_0_normal.png', 'kitchen1/0/Action_0188_0_normal.png', 'kitchen1/0/Action_0200_0_normal.png']","['(female1, drink, milkshake) (male1, open, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, close, microwave)', '(female1, walk , kitchencounter) (male1, close, microwave)', '(female1, walk, kitchencounter) (male1, open, microwave)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0150_0_normal.png', 'kitchen1/0/Action_0163_0_normal.png', 'kitchen1/0/Action_0175_0_normal.png', 'kitchen1/0/Action_0188_0_normal.png', 'kitchen1/0/Action_0200_0_normal.png', 'kitchen1/0/Action_0213_0_normal.png']","['(female1, drink, milkshake) (male1, stand, microwave)', '(female1, drink, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, close, microwave)', '(female1, walk , kitchencounter) (male1, close, microwave)', '(female1, walk, kitchencounter) (male1, open, microwave)', '(female1, stand, sink) (male1, open, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0163_0_normal.png', 'kitchen1/0/Action_0175_0_normal.png', 'kitchen1/0/Action_0188_0_normal.png', 'kitchen1/0/Action_0200_0_normal.png', 'kitchen1/0/Action_0213_0_normal.png', 'kitchen1/0/Action_0225_0_normal.png']","['(female1, drink, milkshake) (male1, stand, microwave)', '(female1, stand, kitchentable) (male1, close, microwave)', '(female1, walk , kitchencounter) (male1, close, microwave)', '(female1, walk, kitchencounter) (male1, open, microwave)', '(female1, stand, sink) (male1, open, microwave)', '(female1, stand, sink) (male1, grab, salmon)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
