frame_index,Timestamp,frame_path,chars,action0,obj0,action1,obj1,Action Label
13,0.52,kitchen2/0/Action_0013_0_normal.png,2,walk ,kitchentable,walk ,kitchentable,"(female1, walk , kitchentable) (male1, walk , kitchentable)"
25,1,kitchen2/0/Action_0025_0_normal.png,2,walk ,stove,walk ,kitchentable,"(female1, walk , stove) (male1, walk , kitchentable)"
38,1.52,kitchen2/0/Action_0038_0_normal.png,2,walk ,stove,walk ,kitchentable,"(female1, walk , stove) (male1, walk , kitchentable)"
50,2,kitchen2/0/Action_0050_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
63,2.52,kitchen2/0/Action_0063_0_normal.png,2,grab ,fryingpan,walk ,kitchentable,"(female1, grab , fryingpan) (male1, walk , kitchentable)"
75,3,kitchen2/0/Action_0075_0_normal.png,2,put,"fryingpan, stove",walk ,kitchentable,"(female1, put, fryingpan, stove) (male1, walk , kitchentable)"
88,3.52,kitchen2/0/Action_0088_0_normal.png,2,stand ,stove,grab ,cutleryknife,"(female1, stand , stove) (male1, grab , cutleryknife)"
100,4,kitchen2/0/Action_0100_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
113,4.52,kitchen2/0/Action_0113_0_normal.png,2,walk ,microwave,walk ,kitchentable,"(female1, walk , microwave) (male1, walk , kitchentable)"
125,5,kitchen2/0/Action_0125_0_normal.png,2,walk ,microwave,walk ,kitchentable,"(female1, walk , microwave) (male1, walk , kitchentable)"
138,5.52,kitchen2/0/Action_0138_0_normal.png,2,grab ,salmon,walk ,kitchencounter,"(female1, grab , salmon) (male1, walk , kitchencounter)"
150,6,kitchen2/0/Action_0150_0_normal.png,2,grab ,salmon,walk ,kitchencounter,"(female1, grab , salmon) (male1, walk , kitchencounter)"
163,6.52,kitchen2/0/Action_0163_0_normal.png,2,walk ,stove,walk ,sink,"(female1, walk , stove) (male1, walk , sink)"
175,7,kitchen2/0/Action_0175_0_normal.png,2,walk ,stove,stand,sink,"(female1, walk , stove) (male1, stand, sink)"
188,7.52,kitchen2/0/Action_0188_0_normal.png,2,walk ,stove,put,"cutleryknife, sink","(female1, walk , stove) (male1, put, cutleryknife, sink)"
200,8,kitchen2/0/Action_0200_0_normal.png,2,walk ,stove,stand,sink,"(female1, walk , stove) (male1, stand, sink)"
213,8.52,kitchen2/0/Action_0213_0_normal.png,2,walk ,stove,walk ,kitchentable,"(female1, walk , stove) (male1, walk , kitchentable)"
225,9,kitchen2/0/Action_0225_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
238,9.52,kitchen2/0/Action_0238_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
250,10,kitchen2/0/Action_0250_0_normal.png,2,switchon,stove,walk ,kitchentable,"(female1, switchon, stove) (male1, walk , kitchentable)"
275,11,kitchen2/0/Action_0275_0_normal.png,2,switchon,stove,walk ,kitchentable,"(female1, switchon, stove) (male1, walk , kitchentable)"
288,11.52,kitchen2/0/Action_0288_0_normal.png,2,switchon,stove,grab ,cutleryfork,"(female1, switchon, stove) (male1, grab , cutleryfork)"
300,12,kitchen2/0/Action_0300_0_normal.png,2,switchon,stove,stand,kitchentable,"(female1, switchon, stove) (male1, stand, kitchentable)"
313,12.52,kitchen2/0/Action_0313_0_normal.png,2,stand ,stove,stand,kitchentable,"(female1, stand , stove) (male1, stand, kitchentable)"
338,13.52,kitchen2/0/Action_0338_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
350,14,kitchen2/0/Action_0350_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
363,14.52,kitchen2/0/Action_0363_0_normal.png,2,stand ,stove,walk ,kitchencounter,"(female1, stand , stove) (male1, walk , kitchencounter)"
375,15,kitchen2/0/Action_0375_0_normal.png,2,stand ,stove,walk ,sink,"(female1, stand , stove) (male1, walk , sink)"
388,15.52,kitchen2/0/Action_0388_0_normal.png,2,stand ,stove,stand,sink,"(female1, stand , stove) (male1, stand, sink)"
400,16,kitchen2/0/Action_0400_0_normal.png,2,stand ,stove,stand,sink,"(female1, stand , stove) (male1, stand, sink)"
413,16.52,kitchen2/0/Action_0413_0_normal.png,2,stand ,stove,stand,sink,"(female1, stand , stove) (male1, stand, sink)"
425,17,kitchen2/0/Action_0425_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
438,17.52,kitchen2/0/Action_0438_0_normal.png,2,stand ,stove,walk ,kitchentable,"(female1, stand , stove) (male1, walk , kitchentable)"
450,18,kitchen2/0/Action_0450_0_normal.png,2,stand ,stove,stand,kitchentable,"(female1, stand , stove) (male1, stand, kitchentable)"
463,18.52,kitchen2/0/Action_0463_0_normal.png,2,stand ,stove,stand,kitchentable,"(female1, stand , stove) (male1, stand, kitchentable)"
475,19,kitchen2/0/Action_0475_0_normal.png,2,stand ,stove,stand,kitchentable,"(female1, stand , stove) (male1, stand, kitchentable)"
