imagepath,prediction,gtoutput
"bedroom2/0/Action_0000_0_normal.png,bedroom2/0/Action_0012_0_normal.png,bedroom2/0/Action_0026_0_normal.png,bedroom2/0/Action_0037_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, walk, bed),(female1, stand, coffeetable),(female1, grab, foodbox),(female1, grab, foodbox)"
"bedroom2/0/Action_0012_0_normal.png,bedroom2/0/Action_0026_0_normal.png,bedroom2/0/Action_0037_0_normal.png,bedroom2/0/Action_0049_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, stand, coffeetable),(female1, grab, foodbox),(female1, grab, foodbox),(female1, walk, bed) (male1, walk, bed)"
"bedroom2/0/Action_0026_0_normal.png,bedroom2/0/Action_0037_0_normal.png,bedroom2/0/Action_0049_0_normal.png,bedroom2/0/Action_0062_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, grab, foodbox),(female1, grab, foodbox),(female1, walk, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed)"
"bedroom2/0/Action_0037_0_normal.png,bedroom2/0/Action_0049_0_normal.png,bedroom2/0/Action_0062_0_normal.png,bedroom2/0/Action_0074_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, grab, foodbox),(female1, walk, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed)"
"bedroom2/0/Action_0049_0_normal.png,bedroom2/0/Action_0062_0_normal.png,bedroom2/0/Action_0074_0_normal.png,bedroom2/0/Action_0087_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, walk, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, grab, book)"
"bedroom2/0/Action_0062_0_normal.png,bedroom2/0/Action_0074_0_normal.png,bedroom2/0/Action_0087_0_normal.png,bedroom2/0/Action_0099_0_normal.png","(female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, grab, book), (female1, sit, bed) (male1, stand, bed)","(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, grab, book),(female1, sit, bed) (male1, stand, bed)"
"bedroom2/0/Action_0074_0_normal.png,bedroom2/0/Action_0087_0_normal.png,bedroom2/0/Action_0099_0_normal.png,bedroom2/0/Action_0112_0_normal.png","(female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, grab, book), (female1, sit, bed) (male1, stand, bed)","(female1, stand, bed) (male1, walk, bed),(female1, stand, bed) (male1, grab, book),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, bookshelf)"
"bedroom2/0/Action_0087_0_normal.png,bedroom2/0/Action_0099_0_normal.png,bedroom2/0/Action_0112_0_normal.png,bedroom2/0/Action_0124_0_normal.png","(female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, grab, book), (female1, sit, bed) (male1, stand, bed)","(female1, stand, bed) (male1, grab, book),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, walk, bookshelf)"
"bedroom2/0/Action_0099_0_normal.png,bedroom2/0/Action_0112_0_normal.png,bedroom2/0/Action_0124_0_normal.png,bedroom2/0/Action_0137_0_normal.png","(female1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed)","(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, stand, bookshelf)"
"bedroom2/0/Action_0112_0_normal.png,bedroom2/0/Action_0124_0_normal.png,bedroom2/0/Action_0137_0_normal.png,bedroom2/0/Action_0149_0_normal.png","(female1, walk, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, stand, bed) (male1, grab, book)","(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, put, book, bookshelf)"
"bedroom2/0/Action_0124_0_normal.png,bedroom2/0/Action_0137_0_normal.png,bedroom2/0/Action_0149_0_normal.png,bedroom2/0/Action_0162_0_normal.png","(female1, walk, bed), (female1, stand, bed) (male1, walk, bed), (female1, grab, book) (male1, walk, bed), (female1, stand, bed) (male1, walk, bed)","(female1, sit, bed) (male1, walk, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, put, book, bookshelf),(female1, sit, bed) (male1, stand, bookshelf)"
"bedroom2/0/Action_0137_0_normal.png,bedroom2/0/Action_0149_0_normal.png,bedroom2/0/Action_0162_0_normal.png,bedroom2/0/Action_0174_0_normal.png","(female1, walk, bed), (female1, stand, bed) (male1, sit, bed), (female1, grab, folder) (male1, sit, bed), (female1, stand, bed) (male1, sit, bed)","(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, put, book, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf)"
"bedroom2/0/Action_0149_0_normal.png,bedroom2/0/Action_0162_0_normal.png,bedroom2/0/Action_0174_0_normal.png,bedroom2/0/Action_0187_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, put, book, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed)"
"bedroom2/0/Action_0162_0_normal.png,bedroom2/0/Action_0174_0_normal.png,bedroom2/0/Action_0187_0_normal.png,bedroom2/0/Action_0199_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, stand, bed)"
"bedroom2/0/Action_0174_0_normal.png,bedroom2/0/Action_0187_0_normal.png,bedroom2/0/Action_0199_0_normal.png,bedroom2/0/Action_0212_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, grab, magazine)"
"bedroom2/0/Action_0187_0_normal.png,bedroom2/0/Action_0199_0_normal.png,bedroom2/0/Action_0212_0_normal.png,bedroom2/0/Action_0224_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, grab, magazine),(female1, sit, bed) (male1, stand, bed)"
"bedroom2/0/Action_0199_0_normal.png,bedroom2/0/Action_0212_0_normal.png,bedroom2/0/Action_0224_0_normal.png,bedroom2/0/Action_0237_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, grab, magazine),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, stand, bed)"
"bedroom2/0/Action_0212_0_normal.png,bedroom2/0/Action_0224_0_normal.png,bedroom2/0/Action_0237_0_normal.png,bedroom2/0/Action_0249_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, grab, magazine),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, boookshelf)"
"bedroom2/0/Action_0224_0_normal.png,bedroom2/0/Action_0237_0_normal.png,bedroom2/0/Action_0249_0_normal.png,bedroom2/0/Action_0262_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, boookshelf),(female1, sit, bed) (male1, stand, boookshelf)"
"bedroom2/0/Action_0237_0_normal.png,bedroom2/0/Action_0249_0_normal.png,bedroom2/0/Action_0262_0_normal.png,bedroom2/0/Action_0274_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, walk, boookshelf),(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, boookshelf)"
"bedroom2/0/Action_0249_0_normal.png,bedroom2/0/Action_0262_0_normal.png,bedroom2/0/Action_0274_0_normal.png,bedroom2/0/Action_0287_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, walk, boookshelf),(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, bookshelf)"
"bedroom2/0/Action_0262_0_normal.png,bedroom2/0/Action_0274_0_normal.png,bedroom2/0/Action_0287_0_normal.png,bedroom2/0/Action_0299_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf)"
"bedroom2/0/Action_0274_0_normal.png,bedroom2/0/Action_0287_0_normal.png,bedroom2/0/Action_0299_0_normal.png,bedroom2/0/Action_0312_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, boookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed)"
"bedroom2/0/Action_0287_0_normal.png,bedroom2/0/Action_0299_0_normal.png,bedroom2/0/Action_0312_0_normal.png,bedroom2/0/Action_0324_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, folder), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, walk, bed)"
"bedroom2/0/Action_0299_0_normal.png,bedroom2/0/Action_0312_0_normal.png,bedroom2/0/Action_0324_0_normal.png,bedroom2/0/Action_0337_0_normal.png","(female1, sit, bed) (male1, walk, bed), (female1, sit, bed) (male1, stand, bed), (female1, sit, bed) (male1, grab, magazine), (female1, sit, bed) (male1, stand, bed)","(female1, sit, bed) (male1, stand, bookshelf),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, stand, bed)"
"bedroom2/0/Action_0312_0_normal.png,bedroom2/0/Action_0324_0_normal.png,bedroom2/0/Action_0337_0_normal.png,bedroom2/0/Action_0349_0_normal.png","(female1, sit, bed) (male1, walk, bookshelf), (female1, sit, bed) (male1, stand, bookshelf), (female1, sit, bed) (male1, put, book, bookshelf), (female1, sit, bed) (male1, stand, bookshelf)","(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, walk, bed),(female1, sit, bed) (male1, stand, bed),(female1, sit, bed) (male1, grab, folder)"
